UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
DECID,19,MISS,NORWAY MAPLE,-79.6650648582618,43.5286494728029
DECID,17,MISS,NORWAY MAPLE,-79.6514228807402,43.5286499880831
DECID,6,MISS,SERVICEBERRY,-79.6368168487497,43.5286516587731
DECID,23,PEEL,HONEY LOCUST,-79.6538693359683,43.5286547813909
DECID,35,MISS,NORWAY MAPLE,-79.6402398455755,43.5286559094728
CONFIR,36,MISS,WHITE PINE,-79.6360092633092,43.5286559573897
DECID,12,MISS,LINDEN,-79.6749214885749,43.5286567291652
DECID,44,HYDRO,ASH SPP.,-79.6588209918026,43.5286591487868
MULTI,11,MISS,RUSSIAN OLIVE,-79.6425968135727,43.5286613203154
CONFIR,46,MISS,WHITE PINE,-79.6356768866541,43.5286624704447
CONFIR,49,MISS,WHITE PINE,-79.6356589203484,43.528665726972
DECID,28,MISS,HONEY LOCUST,-79.6555383182273,43.5286682093875
DECID,4,MISS,IVORY SILK JAPANESE LILAC,-79.6577941635215,43.5286689659912
DECID,17,MISS,WHITE MULBERRY,-79.6270185646196,43.5286702209793
DECID,32,MISS,NORWAY MAPLE,-79.6211619751768,43.5286729331786
DECID,4,MISS,NORWAY MAPLE,-79.6590876208352,43.5286741507203
DECID,25,MISS,WHITE BIRCH,-79.6272526962449,43.5286758229862
MULTI,9,MISS,RUSSIAN OLIVE,-79.6425800178214,43.5286763378444
DECID,86,HYDRO,ASH SPP.,-79.6587194821755,43.5286776458602
DECID,27,MISS,SILVER MAPLE,-79.6645460705409,43.5286785295777
DECID,6,MISS,SKYLINE LOCUST,-79.6478443445631,43.5286786690248
CONFIR,54,MISS,WHITE PINE,-79.635910448628,43.5286787530792
DECID,6,MISS,OHIO BUCKEYE,-79.6653254232804,43.5286828563024
DECID,11,PEEL,NORWAY MAPLE,-79.65391113483,43.5286839066963
DECID,19,MISS,SUGAR MAPLE,-79.6270251223212,43.5286839635213
DECID,17,MISS,ORNAMENTAL PEAR,-79.6239824437805,43.5286868387784
MULTI,22,MISS,FLOWERING CRAB APPLE,-79.6213502269518,43.5286880795433
DECID,70,MISS,RED OAK,-79.6269774217796,43.528689564746
DECID,39,MISS,SILVER MAPLE,-79.6647398659929,43.5286897074214
MULTI,11,MISS,RUSSIAN OLIVE,-79.6425630963244,43.5286914439191
DECID,12,MISS,LINDEN,-79.6748873017098,43.5286920792782
DECID,13,MISS,IVORY SILK JAPANESE LILAC,-79.6637187673223,43.5286965046688
CONFIR,50,MISS,WHITE PINE,-79.6359553643922,43.5286982922347
DECID,58,HYDRO,ASH SPP.,-79.6588024865078,43.5286993343228
DECID,24,MISS,FLOWERING CRAB APPLE,-79.6621064980613,43.5287037590115
DECID,20,MISS,NORWAY MAPLE,-79.6755612218951,43.5287047512888
DECID,26,MISS,NORWAY MAPLE,-79.6393490456752,43.5287071684863
MULTI,11,MISS,RUSSIAN OLIVE,-79.6425447896875,43.5287076140377
DECID,40,MISS,SILVER MAPLE,-79.6800176841424,43.528708123264
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6369414955032,43.5287112621976
CONFIR,42,MISS,WHITE PINE,-79.6359373980865,43.5287113183349
DECID,9,MISS,BLACK CHERRY,-79.6270189239458,43.5287144445985
DECID,18,MISS,FLOWERING CHERRY,-79.6272872055648,43.5287147750074
DECID,28,MISS,SILVER MAPLE,-79.6796565506052,43.5287150278923
DECID,12,PEEL,NORWAY MAPLE,-79.6539499124209,43.5287153374838
MULTI,9,MISS,RUSSIAN OLIVE,-79.6425308616439,43.5287216751588
CONFIR,12,MISS,COLORADO BLUE SPRUCE,-79.6748463831318,43.5287240198203
CONFIR,64,MISS,WHITE PINE,-79.635910448628,43.5287243444322
CONFIR,40,MISS,WHITE PINE,-79.6234769150267,43.5287251429102
DECID,16,MISS,NORWAY MAPLE,-79.6654010301077,43.5287251608318
DECID,6,MISS,SKYLINE LOCUST,-79.6479238637178,43.5287253505047
MULTI,20,MISS,EASTERN WHITE CEDAR,-79.6337016763904,43.5287281414041
CONFIR,49,MISS,WHITE PINE,-79.6358206170996,43.5287308574799
DECID,50,MISS,BUTTERNUT WALNUT,-79.635739768724,43.5287308574799
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6590348452233,43.5287325987168
MULTI,19,MISS,WHITE BIRCH,-79.6340923777453,43.5287328103773
DECID,40,MISS,NORWAY MAPLE,-79.663557181139,43.5287342338813
DECID,16,MISS,HONEY LOCUST,-79.6680322765932,43.5287344193302
DECID,9,MISS,SIBERIAN ELM,-79.6273279665927,43.5287345332744
MULTI,9,MISS,RUSSIAN OLIVE,-79.6425170573124,43.5287357377472
DECID,50,MISS,LINDEN,-79.636711242076,43.5287366093717
CONFIR,48,MISS,AUSTRIAN PINE,-79.6814560078528,43.5287383182529
DECID,30,MISS,HONEY LOCUST,-79.6556439051314,43.5287394131717
CONFIR,8,MISS,COLORADO BLUE SPRUCE,-79.6589575766339,43.5287403362696
